ROUTE,AVERAGE_CO2_TONNES,FLIGHT_COUNT
CGO-SOF,696.9245000000001,2
LGG-NLA,680.57,1
HKG-NLU,635.3109999999999,2
CGO-JFK,602.049,1
HKG-MIA,578.802,1
CGO-ORD,575.863,2
AKL-DXB,574.7515000000001,2
LUX-XMN,560.595,1
DXB-LAX,556.7805,2
DXB-SFO,545.6034999999999,2
DXB-IAH,538.146,2
DXB-GRU,518.4335,4
LUX-PVG,515.8348666666667,15
ICN-LUX,512.587,1
DFW-XMN,504.271,1
LUX-TPE,499.7384,5
DFW-HKG,495.01700000000005,2
LUX-NRT,492.398,2
DOH-SYD,491.247,16
BLR-SFO,487.602,2
DXB-SYD,486.709,10
BOM-SFO,483.3705,2
BNE-DXB,482.4735,8
DXB-IAD,479.2375,2
DXB-MEL,471.304,8
JNB-SYD,467.2065,2
HKG-VIE,466.751,1
DXB-JFK,464.837,4
KMQ-ORD,458.019,1
LUX-SIN,457.197,2
DEL-SFO,456.29999999999995,4
HKG-LUX,445.68825,12
HKG-HKG,435.017,1
JFK-PEK,431.871,2
BAH-CVG,430.184,1
BOM-EWR,424.517,2
EZE-FRA,423.4005,2
LHR-SIN,422.331775,80
LAX-MUC,421.4345,10
DEL-YYZ,408.6787,10
DWC-XMN,405.076,1
ORD-TPE,401.473,12
CGO-LAX,395.686,1
ICN-RFD,395.166,1
LAX-NKG,395.166,2
KHI-YYZ,393.6835,2
LAX-TAO,393.606,2
JNB-LGG,392.10725,4
JFK-TPE,390.163,12
CAN-JFK,389.5775,2
MXP-NRT,387.83525,4
GYD-LCK,386.515,1
ICN-ORD,383.63522222222224,9
DFW-DXB,382.172,2
DFW-DOH,381.8039655172414,29
BOM-JFK,381.195,2
LHE-YYZ,380.685,4
DOH-PER,379.86300000000006,22
FRA-SIN,379.33721951219513,41
CVG-GYD,377.25,1
ORD-PVG,377.0198947368421,19
JED-LAX,376.52099999999996,6
BKK-LUX,375.596,1
IAH-TPE,374.7375,4
GYD-ORD,374.258,5
LUX-VCP,373.6855,2
TPE-YYZ,372.01750000000004,8
DXB-MCO,370.593,2
CGO-LUX,368.224625,24
DEL-ORD,367.725,2
DEL-YVR,367.59749999999997,2
LAX-MXP,367.407,1
DXB-YUL,366.8075,2
DOH-SEA,366.3582,10
DXB-GIG,365.362,1
HKG-HNL,365.003,1
ADL-DXB,363.3985,4
BOS-ICN,362.00300000000004,4
HAK-XCR,361.437,1
LAX-LUX,361.264,4
DXB-SEA,359.9675,2
DXB-NRT,359.572,4
BNE-DOH,358.82,18
IAD-ICN,357.093,4
HKG-TLV,356.1594,5
DOH-ORD,355.5021111111111,18
AMS-CGK,355.197,8
FRA-MEX,354.34,6
DXB-MIA,352.011,1
ISB-YYZ,351.461,2
DXB-ORD,350.95349999999996,2
ORD-PEK,349.181,1
HKG-JFK,347.6675555555555,27
SIN-SVO,347.427,2
DOH-MEL,346.77099999999996,27
FRA-LAX,346.518,10
ICN-LGG,346.439,1
ICN-LAX,345.6729607843137,51
CDG-TPE,344.43499999999995,2
DFW-LUX,343.929,1
JNB-LUX,343.383,3
CVG-ICN,342.55,3
ADD-GRU,341.86126666666667,15
LAX-MNL,340.76025,4
NRT-ORD,340.52729999999997,10
HAV-SVO,339.7185,2
AMS-JNB,339.2502,10
KHN-LGG,339.18600000000004,2
LUX-PEK,339.014,1
ANC-CKG,339.002,1
ICN-JFK,338.5696315789474,19
HKG-LAX,337.6037058823529,34
DXB-KIX,337.529,4
AUH-JFK,337.49625000000003,8
LUX-NLU,337.3685,4
DXB-YYZ,336.42449999999997,4
JFK-PVG,336.2785,4
DOH-GRU,336.1377857142857,14
CAN-LAX,335.061,5
HKG-ORD,334.44,6
BOH-FOC,334.03200000000004,4
DOH-YYZ,333.8,2
ANC-CTU,332.5396666666667,3
CAN-SFO,332.4805,2
AKL-IAH,332.39000000000004,6
LUX-SEA,331.916,1
HKG-LGG,331.203125,8
BUD-HKG,327.83,2
DEL-IAD,327.0225,2
ORD-SVO,326.64033333333333,3
MNL-SFO,325.63824999999997,4
DFW-NRT,325.0561666666667,6
BOS-DXB,323.9885,2
BCN-MEX,323.9855,4
ONT-TPE,323.557,2
NRT-ZRH,323.298,4
BNE-SFO,321.5322,10
ANC-CSX,320.803,1
HKG-MXP,320.71384615384613,13
ANC-CGO,320.283,1
SFO-SYD,318.99583333333334,24
LAX-PVG,318.8412647058824,34
BOH-CTU,318.8275,2
FRA-GRU,318.619,20
DXB-EWR,318.027,2
NRT-YUL,317.5085,4
SFO-WUH,316.918,2
EWR-NRT,316.1946666666667,3
FRA-HKG,315.5971875,16
IAD-PEK,315.153,1
PVG-YYZ,315.03366666666665,3
NLU-ZAZ,314.973,1
DXB-PER,314.952,8
HND-YYZ,314.804,4
LAX-TPE,314.62357692307694,52
ICN-MXP,314.539,8
IAD-RUH,314.4355,6
DOH-YUL,314.0055,8
SIN-ZRH,313.4245882352941,17
BKK-LGW,312.29049999999995,2
NRT-YYZ,312.0635,4
CCS-VKO,312.011,1
LAX-SYD,311.6382571428571,35
SFO-TPE,310.880975,40
FRA-JNB,309.9264,15
CVG-HNL,309.526,1
GYD-NRT,308.979,4
IND-LUX,308.434,1
EWR-HND,307.427,4
PEK-SFO,306.91433333333333,6
LUX-SJU,306.25,1
PUJ-SVO,306.123,2
DEL-ZAZ,305.849,3
CDG-HND,305.77500000000003,17
PMV-SVO,305.5865,2
LGG-PVG,304.7371,10
LGG-LUN,304.611,1
JFK-RUH,304.227,2
MNL-YVR,303.83299999999997,2
ATL-ICN,303.0523636363636,11
HND-IST,302.325,6
ANC-TAO,302.085,2
AKL-DOH,301.6205,16
IAD-JED,301.5695,4
JFK-KWI,301.2415,2
BKK-LHR,301.13454545454545,11
MNL-SEA,300.776,2
ICN-LAS,300.548,4
IAH-LUX,300.242,1
PVG-SFO,300.1735,6
ICN-LHR,300.09583333333336,6
FRA-SFO,299.74626923076926,26
BKK-CDG,299.154,10
FRA-NLU,298.35966666666667,3
BAH-HKG,298.058,1
CCC-SVO,297.76300000000003,2
ANC-XMN,297.364,5
DXB-TPE,296.8385,2
IST-YVR,296.683,4
IST-SFO,296.13686666666666,15
DEL-EWR,295.8324,5
CVG-NRT,295.40585714285714,7
JNB-LHR,295.1911666666667,18
IAH-NRT,295.058,4
DWC-ORD,294.597,1
LGG-NLU,293.882,1
ANC-HKG,293.37195454545457,44
JED-JFK,292.4,2
SYD-YVR,291.93376470588237,17
AUH-SYD,290.92090697674416,43
CKG-FRA,290.676,1
DEL-MUC,290.47700000000003,6
LUX-YYC,290.411,1
BKK-MUC,290.04475,4
LAX-SZX,288.7856,5
TPE-YVR,288.38,12
AMS-BKK,288.0466666666667,9
AMS-GRU,288.0205,6
CDG-GDL,287.817,1
NRT-SVO,287.177,4
GRU-ZRH,286.68966666666665,3
SVO-VRA,286.2925,8
BLR-FRA,285.965,6
LAX-PEK,285.90250000000003,8
DOH-JFK,285.82252272727277,44
AMS-CKG,285.604,2
DOH-LAX,285.387,12
JFK-SIN,284.8755,2
FRA-ICN,284.8751,10
ATL-LUX,284.0748,5
HKG-TZX,283.311,1
LAX-ZRH,283.217,4
CAN-STN,283.08675,8
DOH-IAH,282.9063076923077,13
EWR-SIN,282.0295,2
DFW-ICN,281.8757,10
ALA-ZAZ,281.841,1
BOS-HKG,281.4385,4
CDG-PVG,280.46046666666666,15
DOH-SFO,280.3564,10
SFO-ZRH,280.1725,4
HND-ORD,279.5076111111111,18
AMS-LIM,279.188,4
BKK-ZRH,279.175,12
CDG-RUN,279.12850000000003,8
HKG-SVO,278.31125,8
FRA-PVG,277.75889655172415,29
CWB-FRA,277.088,1
ICN-YYZ,276.52675,8
FRA-HND,276.0201666666667,12
CDG-SIN,275.41386363636366,22
HGH-JFK,275.025,1
CDG-GIG,275.0095,12
PEK-SYD,274.929,4
ICN-SVO,274.0906,5
HKG-YYZ,273.5985,4
LGW-SJO,273.5545,2
CAN-FRA,273.33255555555553,9
GYD-SIN,273.2985,4
HND-JFK,273.2165625,32
DOH-IAD,273.1645,32
CPT-LHR,272.9267368421053,19
FRA-SZX,272.6843,10
ANC-SZX,272.1725,2
DOH-NRT,271.6665,6
AMS-PVG,271.6612,25
DPS-DXB,271.637,8
HGH-MAD,271.5224,5
FRA-TPE,271.051,5
LHR-PER,270.65049999999997,2
AKL-TPE,270.638,4
DFW-MEL,270.47950000000003,4
ICN-IST,270.03292857142856,14
CDG-NLU,269.85566666666665,3
IST-LAX,269.83099999999996,19
FCO-ICN,269.738,8
AMS-HKG,269.65430000000003,10
DOH-MIA,269.63318518518514,27
PEK-YVR,269.0408,5
ICN-OSL,268.579,1
AMS-ICN,268.49418181818186,11
CGO-LGG,268.21750000000003,6
AKL-JFK,268.1642,5
LAX-MEL,268.0754,20
CDG-MLE,268.0195,4
MXP-ORD,267.784,1
CDG-JNB,267.62,8
CDG-PER,267.26300000000003,2
LUX-MIA,267.25,1
FRA-MIA,267.00866666666667,9
CDG-LIM,266.953,4
DXB-HND,266.2325,4
HKG-KWI,265.8325,2
ANC-CAN,265.076,1
GRU-LGG,264.793,1
GYD-KIX,264.76,1
LUX-ORD,264.33071428571424,14
CDG-MST,264.269,1
HKG-IST,263.92776923076923,13
PVG-RUH,263.548,6
CGO-MXP,263.314,3
HKG-WTB,263.158,1
ANC-TPE,262.8526153846154,13
BKK-FRA,262.68718181818184,11
GYD-ICN,262.51120000000003,5
AKL-NRT,262.3088,10
GRU-MXP,262.2266666666667,3
AMS-ANC,261.993,1
GYD-HKG,261.28086666666667,15
JFK-ZAZ,260.997,1
CGK-DWC,260.37,1
CWL-URC,260.3155,2
KIX-SFO,260.3135,4
DFW-EZE,260.298,2
FRA-VCP,260.074,3
DFW-SYD,259.9385,4
LHR-SFO,259.851,66
MEX-SZX,259.079,1
AMS-CPT,259.0571,10
IAH-SYD,257.6902,5
CGO-SVO,257.5485,8
GYD-PVG,257.03116666666665,18
BOM-BRU,256.664,2
ICN-SYD,256.1432608695652,23
CVG-LUX,256.001,1
ANC-NKG,255.3116,5
AUH-ORD,255.2515,4
BCN-SCL,255.03650000000002,10
CGO-FRA,254.734,2
HAV-VKO,254.671,1
DXB-GLA,254.50650000000005,6
DXB-YVR,253.9485,2
BNE-DFW,253.808,4
HGH-LIS,253.465,2
ATL-DOH,253.14,11
CDG-CUN,252.7286,5
DXB-MAN,252.6925,18
AKL-LAX,252.68262068965515,29
BCN-SZX,252.5485,4
BOH-URC,252.24949999999998,4
CKG-SYD,251.74660000000003,5
CAN-YYZ,251.5455,4
BKK-GYD,251.084,1
AMS-NRT,250.729,4
AMS-CAN,250.59300000000002,8
SIN-YVR,250.39550000000003,2
IST-MIA,249.319,13
DXB-JNB,248.96883333333335,12
LAX-SIN,248.67499999999998,4
HKG-YVR,248.6138,10
JFK-LGG,248.50233333333333,3
AKL-SFO,248.37199999999999,16
JFK-MNL,248.266,2
CPT-EWR,248.139,1
DXB-LGW,248.04250000000002,16
BCN-GRU,247.67680000000001,5
CAN-LGG,247.283,2
SFO-SIN,246.97025000000002,8
BOM-YYZ,246.218,1
JED-MNL,245.885,2
DWC-TPE,245.82,5
AMS-SIN,245.79409090909093,11
CPT-LGW,245.208,4
EWR-JNB,244.50900000000001,2
LGW-MRU,244.50225,4
IST-SZX,244.4753333333333,6
ATH-EWR,244.3525,4
BKK-CPH,244.2295,6
LAX-LHR,243.86355855855857,111
IST-YYZ,243.84579999999997,10
HKG-ZRH,243.78650000000002,10
AMS-GIG,243.711,6
CTU-FRA,243.37,2
CPT-IAD,243.3605,2
GRU-LHR,243.21485,20
BLQ-LJU,242.839,1
DEL-YUL,242.776,4
ADD-CAN,242.75135714285716,14
AUH-YYZ,242.64499999999998,4
CKY-DXB,242.443,2
LIS-PKX,242.413,2
ATL-JNB,242.348,2
LHR-PVG,242.07840000000002,10
IST-YUL,242.0027777777778,9
FCO-PEK,241.659,4
MTY-NRT,241.53,1
PVG-VIE,241.20250000000001,4
ADD-PVG,240.88524999999998,4
BHX-HKG,240.524,1
MNL-YYZ,240.50549999999998,2
PVG-SVO,240.46830769230772,13
HND-IAD,240.2603333333333,12
HKG-SHJ,240.022,8
LGG-MIA,239.942,3
BCN-EZE,238.7375,20
BRU-SIN,238.38955555555555,9
MEL-SFO,237.9365,8
ANC-MIA,237.55883333333335,18
ATL-IST,237.25563636363634,11
SEA-TPE,237.03185,20
IST-ORD,236.81785185185186,27
BKK-YVR,236.685,4
CAI-CAN,236.6165,6
ICN-LIS,236.473,2
ORD-STR,236.452,1
ANC-PVG,236.39060606060607,33
BZV-LOS,236.335,1
AUH-CDG,236.31,8
CGO-GYD,236.22945454545453,11
HKG-LHR,236.01713333333333,15
LHR-SHJ,235.986,1
CDG-SGN,235.92575,12
STN-TAS,235.912,1
PVG-ZRH,235.8905,2
PVG-ZAZ,235.733,1
EZE-FCO,235.5646875,16
BNE-LAX,235.5075,16
IST-MEX,235.295,2
SEA-SIN,235.23649999999998,2
DEL-JFK,235.053,4
HKT-SVO,234.980375,8
ATL-CPT,234.75549999999998,2
LGG-WUH,234.615,2
CPT-DXB,234.262,8
ICN-SEA,234.203,19
HKG-STN,233.662,1
AKL-DFW,233.4115,4
EWR-ICN,233.254,2
LHR-SZX,233.15449999999998,4
CKG-SEA,232.983,1
CDG-TNR,232.923,6
CKG-JFK,232.858,2
LHR-MLE,232.62266666666665,6
HND-LHR,232.51395833333333,24
CDG-PHX,232.05200000000002,8
LHR-MSY,231.91750000000002,10
FRA-PEK,231.84936842105262,19
EZE-JFK,231.80333333333337,3
AMS-MST,231.59050000000002,2
JFK-LUX,231.5732857142857,7
CSX-LHR,231.266,1
ICN-MTY,230.951,1
YYZ-ZRH,230.93338461538463,13
FOC-JFK,229.93,1
DWC-PVG,229.79399999999998,8
CDG-ICN,229.6402857142857,14
AKL-HGH,229.31400000000002,2
GYD-HAN,229.23250000000002,2
LAX-TLV,229.1225,10
LHR-SCL,228.749,4
MXP-WNZ,228.702,2
DXB-HKG,228.59324999999998,8
ALG-PEK,228.5165,2
MRU-VIE,228.2995,6
ALA-STN,228.261,1
SFO-SGN,227.523,2
BNE-YVR,227.504,4
BOS-PEK,227.461,1
FCO-HGH,227.427,4
KWI-MNL,227.42149999999998,2
ACC-LGG,227.32,2
IST-JFK,227.3165641025641,39
KJA-LGG,227.04700000000003,3
AKL-PVG,227.018375,8
LHR-MIA,226.96497101449276,69
CDG-HKG,226.95674999999997,12
DOH-PVG,226.269,3
AMS-BQN,225.916,2
DFW-FRA,225.81838888888888,18
BCN-ICN,225.663,4
CGK-MED,225.4949090909091,11
DXB-LHR,225.3191,60
HND-MXP,225.05349999999999,4
CGK-JED,224.762,32
MEL-SCL,224.60585714285713,7
ANC-KIX,224.581,3
MUC-TPE,224.49200000000002,2
HGH-LAX,224.0,1
HKG-SFO,223.81246153846152,26
MAD-NRT,223.7345,4
CTG-WAW,223.6815,2
BRU-SHJ,223.465,1
LGG-PHC,223.223,1
AUH-IAD,222.592,6
DXB-MRU,222.545,10
DWC-HKG,222.49523076923077,39
DOH-PHL,222.43950000000004,6
BKK-SVO,221.89649999999997,6
PVG-VCE,221.7785,2
EZE-IAH,221.6035,4
DME-PEK,221.587,1
ADD-CSX,221.574,2
ANC-IAH,221.525,1
ASB-SGN,221.43775,4
BCN-LAX,221.023,13
ANC-ICN,220.97752380952383,21
ADD-HKG,220.93542857142856,7
MAD-SAL,220.919,1
KJA-MUC,220.85533333333333,3
LHR-TPE,220.84550000000002,2
DFW-PVG,220.76,4
SCL-SYD,220.7585,6
FRA-IAD,220.73195454545456,22
EWR-GRU,220.589,4
MXP-TPE,219.99450000000002,2
BOG-ZRH,219.799,1
BKK-VIE,219.4738125,16
AUH-BOS,219.4495,2
IAH-IST,219.44506666666666,15
DOH-MNL,219.36464285714285,14
DTW-IST,219.354,2
HKT-ZRH,219.28733333333335,6
FRA-SJO,219.091,2
BCN-LIM,219.003,1
BRU-MRU,219.003,2
KIN-LGW,218.8735,6
AUH-MEL,218.857,24
MEX-NRT,218.75036363636363,11
CAI-JFK,218.40025,4
DXB-NCE,218.37400000000002,4
CAN-IST,218.1625,4
ADD-ATL,218.06,1
SZX-VIE,217.652,2
CDG-GRU,217.64570588235296,17
AUH-EHU,217.59449999999998,4
ATL-LOS,217.5095,2
MAD-MVD,217.444875,8
CRK-DXB,217.073,1
BHX-DXB,216.76825000000002,8
FCO-TFU,216.6645,4
DWC-PEK,216.3025,2
DTW-PVG,216.177,4
CAI-NRT,216.1615,2
MLE-SVO,216.066,4
CDG-SFO,216.05925,16
ALA-AMS,216.0455,2
HKT-OSL,215.91,1
BOG-IST,215.909,2
CDG-CGO,215.88399999999996,5
LIS-NLU,215.777,1
SHJ-SIN,215.7115,4
DME-HKT,215.6125,2
CDG-EZE,214.8495,4
ADD-TFU,214.44849999999997,2
DXB-MAD,214.35125000000002,12
