ROUTE,AVERAGE_CO2_PER_PERSON_TONNES,AVERAGE_CO2_PER_PERSON_KG,AVERAGE_CO2_TONNES,FLIGHT_COUNT
JFK-SIN,2.0816624040920715,2081.6624040920715,284.8755,2
EWR-SIN,2.0608659115820243,2060.865911582024,282.0295,2
DEL-SFO,2.0457270563827192,2045.7270563827192,456.29999999999995,4
BLR-SFO,1.9918382352941175,1991.8382352941176,487.602,2
BOM-SFO,1.9745526960784314,1974.5526960784314,483.3705,2
DOH-PVG,1.741984031353075,1741.984031353075,226.269,3
BOM-EWR,1.734138071895425,1734.138071895425,424.517,2
NRT-ORD,1.6955910099889009,1695.5910099889009,340.52729999999997,10
DEL-YYZ,1.6136782846409357,1613.6782846409355,408.6787,10
DFW-DOH,1.5632462133112361,1563.246213311236,381.8039655172414,29
BOS-ICN,1.5374941601189214,1537.4941601189214,362.00300000000004,4
JED-LAX,1.527468559837728,1527.468559837728,376.52099999999996,6
IAD-ICN,1.5166404756848588,1516.6404756848588,357.093,4
KHI-YYZ,1.494055028462998,1494.055028462998,393.6835,2
LAX-SIN,1.4867472680771916,1486.7472680771916,248.67499999999998,4
DOH-LGG,1.4562600472813239,1456.2600472813238,196.6215,2
LHE-YYZ,1.4447248576850096,1444.7248576850095,380.685,4
ICN-ORD,1.4291038437035464,1429.1038437035463,383.63522222222224,9
DXB-YUL,1.428934553954032,1428.9345539540318,366.8075,2
ADL-DXB,1.4156544604596806,1415.6544604596806,363.3985,4
HND-JFK,1.4027974332627147,1402.7974332627148,273.2165625,32
HND-ORD,1.397427581645436,1397.427581645436,279.5076111111111,18
AKL-DXB,1.3970624696159457,1397.0624696159457,574.7515000000001,2
JFK-PEK,1.3920096696212731,1392.0096696212731,431.871,2
JFK-PVG,1.3705640357408788,1370.5640357408788,336.2785,4
EZE-FRA,1.3684566903684554,1368.4566903684554,423.4005,2
JFK-TPE,1.362381193220825,1362.381193220825,390.163,12
DXB-EWR,1.355613810741688,1355.613810741688,318.027,2
TPE-YYZ,1.3550081952285558,1355.0081952285557,372.01750000000004,8
LHR-SIN,1.3541258390271576,1354.1258390271576,422.331775,80
DXB-LAX,1.3533799222168206,1353.3799222168207,556.7805,2
LHR-PER,1.3492048853439682,1349.2048853439683,270.65049999999997,2
DFW-MEL,1.3483524426719842,1348.3524426719841,270.47950000000003,4
EWR-NRT,1.3478033532253482,1347.8033532253482,316.1946666666667,3
DOH-GRU,1.3447097512777373,1344.7097512777373,336.1377857142857,14
SIN-ZRH,1.339309295375904,1339.309295375904,313.4245882352941,17
ISB-YYZ,1.3338178368121443,1333.8178368121444,351.461,2
